Date,PLAYER_NAME,Team,Opp,Fantasy_Team,Free_Agent,Injury_Status,Pred_MIN,Pred_FP,L3_FP_per_Min,Opp_DefRtg,Schedule_Rest,Long_Absence_Flag
2026-04-09,Jay Huff,IND,BKN,Sensei Kensei Konichiwa,False,ACTIVE,23.11,25.7,1.47,115.41,-3,0
2026-04-09,Gui Santos,GSW,LAL,Shang Chi,False,ACTIVE,26.96,25.62,1.08,114.49,-3,0
2026-04-09,Chaney Johnson,BKN,IND,Free Agent,True,ACTIVE,20.34,25.55,1.27,113.46,-3,0
2026-04-09,JD Davison,HOU,PHI,Free Agent,True,ACTIVE,14.38,25.53,0.84,112.06,-3,0
2026-04-09,Jakob Poeltl,TOR,MIA,Kev's Crips,False,ACTIVE,22.59,25.5,0.84,109.96,-3,0
2026-04-09,Luka Garza,BOS,NYK,Free Agent,True,ACTIVE,20.65,25.13,1.55,111.16,-3,0
2026-04-09,Clint Capela,HOU,PHI,Free Agent,True,ACTIVE,16.0,25.12,0.81,112.06,-3,0
2026-04-09,E.J. Liddell,BKN,IND,Free Agent,True,ACTIVE,26.86,25.12,1.0,113.46,-3,0
2026-04-09,Gary Payton II,GSW,LAL,Free Agent,True,ACTIVE,20.16,24.76,1.37,114.49,-3,0
2026-04-09,Andrew Wiggins,MIA,TOR,Garden State Warriors (pt. 2),False,ACTIVE,27.48,24.19,0.86,110.91,-3,0
2026-04-09,Tyson Etienne,BKN,IND,Free Agent,True,ACTIVE,29.41,24.16,0.81,113.46,-3,0
2026-04-09,Derrick White,BOS,NYK,Woo Shiesty,False,ACTIVE,31.05,23.94,0.55,111.16,-1,0
2026-04-09,Kobe Bufkin,LAL,GSW,Free Agent,True,ACTIVE,12.82,23.81,0.09,109.08,2,0
2026-04-09,Obi Toppin,IND,BKN,Free Agent,True,ACTIVE,19.52,23.78,1.26,115.41,-3,0
2026-04-09,Kobe Brown,IND,BKN,Free Agent,True,ACTIVE,27.37,23.56,0.66,115.41,-3,0
2026-04-09,Sam Hauser,BOS,NYK,Free Agent,True,ACTIVE,27.04,23.45,0.57,111.16,-1,0
2026-04-09,Leaky Black,WAS,CHI,Free Agent,True,ACTIVE,28.83,23.34,0.56,115.23,-3,0
2026-04-09,Jose Alvarado,NYK,BOS,Free Agent,True,ACTIVE,20.96,23.29,1.17,111.33,-3,0
2026-04-09,Ben Saraf,BKN,IND,Free Agent,True,DAY_TO_DAY,30.56,22.85,0.83,113.46,-3,0
2026-04-09,Sandro Mamukelashvili,TOR,MIA,Kev's Crips,False,ACTIVE,22.52,22.81,1.07,109.96,-3,0
2026-04-09,Deandre Ayton,LAL,GSW,Team 9,False,ACTIVE,22.76,22.33,0.86,109.08,-3,0
2026-04-09,Micah Potter,IND,BKN,Free Agent,True,ACTIVE,23.33,22.28,1.22,115.41,-3,0
2026-04-09,Guerschon Yabusele,CHI,WAS,Free Agent,True,ACTIVE,25.13,22.11,0.57,120.41,0,0
2026-04-09,Kel'el Ware,MIA,TOR,Ibrahim's Impressive Team,False,ACTIVE,20.2,21.75,1.48,110.91,-3,0
2026-04-09,Andre Drummond,PHI,HOU,Free Agent,True,ACTIVE,22.71,21.56,1.03,108.06,-3,0
2026-04-09,Jalen Wilson,BKN,IND,Free Agent,True,ACTIVE,27.11,21.47,0.81,113.46,-3,0
2026-04-09,Ja'Kobe Walter,TOR,MIA,Free Agent,True,ACTIVE,26.2,21.3,0.85,109.96,-3,0
2026-04-09,Jordan Walsh,BOS,NYK,Free Agent,True,ACTIVE,21.93,21.26,0.91,111.16,-3,0
2026-04-09,Josh Minott,BKN,IND,Free Agent,True,ACTIVE,20.73,20.39,0.95,113.46,4,0
2026-04-09,Jaxson Hayes,LAL,GSW,Free Agent,True,ACTIVE,20.09,20.18,1.01,109.08,4,0
2026-04-09,Pat Spencer,GSW,LAL,Free Agent,True,ACTIVE,18.62,19.82,0.76,114.49,-3,0
2026-04-09,Ziaire Williams,BKN,IND,Free Agent,True,DAY_TO_DAY,22.59,19.68,0.95,113.46,4,0
2026-04-09,Omer Yurtseven,GSW,LAL,Free Agent,True,ACTIVE,10.91,19.55,0.1,114.49,4,0
2026-04-09,Kam Jones,IND,BKN,Free Agent,True,ACTIVE,21.83,19.51,0.45,115.41,-3,0
2026-04-09,Nikola Vucevic,BOS,NYK,Joe's Fatsos,False,ACTIVE,21.27,19.5,0.66,111.16,-1,0
2026-04-09,Simone Fontecchio,MIA,TOR,Free Agent,True,ACTIVE,17.97,19.47,1.16,110.91,-1,0
2026-04-09,Dalton Knecht,LAL,GSW,Free Agent,True,ACTIVE,14.11,19.37,0.92,109.08,-3,0
2026-04-09,Rui Hachimura,LAL,GSW,Free Agent,True,ACTIVE,24.0,19.28,0.7,109.08,-3,0
2026-04-09,Terance Mann,BKN,IND,Free Agent,True,DAY_TO_DAY,22.22,19.14,0.85,113.46,4,0
2026-04-09,Charles Bassey,GSW,LAL,Free Agent,True,ACTIVE,15.35,19.05,1.12,114.49,-3,0
2026-04-09,Will Richard,GSW,LAL,Free Agent,True,ACTIVE,16.95,18.99,0.57,114.49,-3,0
2026-04-09,Dominick Barlow,PHI,HOU,Free Agent,True,ACTIVE,19.68,18.95,0.94,108.06,-3,0
2026-04-09,Jae'Sean Tate,HOU,PHI,Free Agent,True,ACTIVE,14.9,18.76,0.94,112.06,-3,0
2026-04-09,Luke Kennard,LAL,GSW,Free Agent,True,ACTIVE,21.79,18.63,1.38,109.08,-3,0
2026-04-09,Jamal Shead,TOR,MIA,Free Agent,True,ACTIVE,24.58,18.6,0.43,109.96,-3,0
2026-04-09,Mac McClung,CHI,WAS,Free Agent,True,ACTIVE,16.67,18.57,0.76,120.41,-3,0
2026-04-09,Justin Edwards,PHI,HOU,Free Agent,True,ACTIVE,17.61,18.52,0.23,108.06,-3,0
2026-04-09,Drake Powell,BKN,IND,Free Agent,True,ACTIVE,27.18,18.44,0.48,113.46,-3,0
2026-04-09,Dalano Banton,BOS,NYK,Free Agent,True,ACTIVE,14.41,18.39,0.61,111.16,-3,0
2026-04-09,Josh Okogie,HOU,PHI,Free Agent,True,ACTIVE,20.43,18.03,0.68,112.06,-3,0
2026-04-09,Jarred Vanderbilt,LAL,GSW,Free Agent,True,ACTIVE,17.93,17.9,1.1,109.08,-3,0
2026-04-09,Jake LaRavia,LAL,GSW,Free Agent,True,ACTIVE,22.49,17.66,0.56,109.08,-3,0
2026-04-09,Miles McBride,NYK,BOS,Free Agent,True,ACTIVE,20.86,17.63,0.75,111.33,-3,0
2026-04-09,Landry Shamet,NYK,BOS,Free Agent,True,ACTIVE,21.84,17.48,0.32,111.33,-1,0
2026-04-09,Dorian Finney-Smith,HOU,PHI,Free Agent,True,ACTIVE,16.18,17.45,0.88,112.06,-3,0
2026-04-09,Yuki Kawamura,CHI,WAS,Free Agent,True,ACTIVE,16.5,17.36,0.39,120.41,-3,0
2026-04-09,Noah Clowney,BKN,IND,Free Agent,True,DAY_TO_DAY,20.42,17.32,0.79,113.46,4,0
2026-04-09,Jaden Hardy,WAS,CHI,Free Agent,True,ACTIVE,20.0,17.11,0.81,115.23,-3,0
2026-04-09,Neemias Queta,BOS,NYK,MVPG13 SHWIN,False,ACTIVE,21.75,17.09,1.42,111.16,-1,0
2026-04-09,Chris Manon,LAL,GSW,Free Agent,True,ACTIVE,12.65,17.01,1.06,109.08,-3,0
2026-04-09,Aaron Holiday,HOU,PHI,Free Agent,True,ACTIVE,16.17,16.85,0.78,112.06,-3,0
